file_name,score,score_error,percentiles_0,percentiles_50,percentiles_90,percentiles_95,percentiles_99
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params#.json,1.690597528998191e-06,3.799165804886132e-09,8.8e-07,1.6280000000000001e-06,1.974e-06,2.148e-06,3.6280000000000002e-06
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock#.json,53.545163569165865,0.04815897320478421,43.0,50.0,68.0,72.0,78.0
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenation#.json,9.342600951309839e-08,3.610771898970265e-09,6.2e-08,7.800000000000001e-08,1.01e-07,1.08e-07,1.66e-07
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.simpleThrowable#loggingConfiguration=LOG4J2_THROWABLE_ASYNC.json,6.631858128700831e-05,5.381036306870774e-07,2.77e-07,6.12e-07,7.930000000000001e-07,9.55e-07,0.0006113280000000001
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputParameterizedDouble#.json,2.59266072254914e-06,4.294512094453803e-09,2.046e-06,2.2e-06,2.4440000000000002e-06,3.872e-06,1.0096000000000001e-05
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderRewrite#.json,1.4248579486869395e-07,4.570083345984867e-09,1.0900000000000001e-07,1.2000000000000002e-07,1.53e-07,1.55e-07,1.9300000000000002e-07
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackTooFine#.json,5.626012478982108e-08,1.141522897126223e-09,4.1e-08,4.4000000000000004e-08,7.800000000000001e-08,8e-08,8.2e-08
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.baseline#size=4.json,6.386559801254803e-08,7.472886796941885e-11,3.1e-08,6.5e-08,8.400000000000001e-08,8.700000000000001e-08,9.600000000000001e-08
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.OutputBenchmark.redirect#.json,4.200288546408906e-05,4.1363910719160364e-08,3.6608e-05,4.1344e-05,4.3712000000000004e-05,4.4736e-05,4.8768000000000005e-05
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.serializableMCD#.json,330.9208285583267,7.039095764118485,268.0,306.0,327.0,334.0,390.0
